# Conflict Data Audit Report
For each flight, all conflicts it is involved in are listed.
Columns: Source | Flight | Aircraft Type | Departure Time | Time (UTC) | Lat | Lon | Alt | Altitude Diff | Distance
Note: Departure Time column shows scheduled departure times to verify scheduling algorithm accuracy.

## Flight: FLT0001
### Conflict with FLT0018 (Conflict 1)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0016      | A332         | 1503           | 7            | -34.43183  | 150.62075  |   19177 |            823 | 1.75      |
| interpolated_points      | FLT0016      | A332         | 1503           | 1510         | -34.43183  | 150.62075  |   19177 |              0 | N/A       |
| animation_data           | FLT0016      | A332         | 1503           | 1510         | -34.43183  | 150.62075  |   19177 |              0 | N/A       |

## Flight: FLT0017
### Conflict with FLT0009 (Conflict 12)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0017      | DH8D         | 1522           | 27           | -33.39856  | 149.17802  |    6514 |            347 | 2.72      |
| interpolated_points      | FLT0017      | DH8D         | 1522           | 1549         | -33.39856  | 149.17802  |    6514 |              0 | N/A       |
| animation_data           | FLT0017      | DH8D         | 1522           | 1549         | -33.39856  | 149.17802  |    6514 |              0 | N/A       |

### Conflict with FLT0010 (Conflict 14)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0017      | DH8D         | 1522           | 27           | -33.39856  | 149.17802  |    6514 |            538 | 2.74      |
| interpolated_points      | FLT0017      | DH8D         | 1522           | 1549         | -33.39856  | 149.17802  |    6514 |              0 | N/A       |
| animation_data           | FLT0017      | DH8D         | 1522           | 1549         | -33.39856  | 149.17802  |    6514 |              0 | N/A       |

### Conflict with FLT0011 (Conflict 15)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0017      | DH8D         | 1522           | 14           | -33.71838  | 150.32769  |   12000 |            800 | 2.05      |
| interpolated_points      | FLT0017      | DH8D         | 1522           | 1536         | -33.71838  | 150.32769  |   12000 |              0 | N/A       |
| animation_data           | FLT0017      | DH8D         | 1522           | 1536         | -33.71838  | 150.32769  |   12000 |              0 | N/A       |

## Flight: FLT0018
### Conflict with FLT0001 (Conflict 1)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0018      | DH8D         | 1458           | 12           | -34.37808  | 150.70779  |   19520 |            480 | 2.13      |
| interpolated_points      | FLT0018      | DH8D         | 1458           | 1509         | -34.37808  | 150.70779  |   19520 |              0 | N/A       |
| animation_data           | FLT0018      | DH8D         | 1458           | 1509         | -34.37808  | 150.70779  |   19520 |              0 | N/A       |

### Conflict with FLT0011 (Conflict 16)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
